symbol,entry_ts,exit_ts,side,entry_price,exit_price,stop_price,target_price,pnl_abs,r_multiple,model,entry_reasons,exit_reason,entry_hour
QQQ,2026-02-09 10:57:00-05:00,2026-02-09 11:00:00-05:00,short,614.02001953125,613.6396990094865,614.1467930385045,613.6396990094865,0.3803205217634513,3.0,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-10 10:00:00-05:00,2026-02-10 10:57:00-05:00,long,615.5250244140625,614.823764692034,614.823764692034,617.6288035801479,-0.7012597220284533,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-10 10:57:00-05:00,2026-02-10 11:24:00-05:00,long,615.3699951171875,614.5679438999721,614.5679438999721,617.7761487688338,-0.8020512172154213,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-11 10:00:00-05:00,2026-02-11 10:03:00-05:00,long,613.719970703125,613.2152557373047,613.2152557373047,615.2341156005859,-0.5047149658203125,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-11 10:06:00-05:00,2026-02-11 10:09:00-05:00,long,613.0700073242188,612.6152801513672,612.6152801513672,614.4341888427734,-0.4547271728515625,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-11 10:18:00-05:00,2026-02-11 10:21:00-05:00,long,610.2000122070312,609.3428423200335,609.3428423200335,612.7715218680246,-0.8571698869977808,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-11 10:27:00-05:00,2026-02-11 10:33:00-05:00,long,608.010009765625,609.2615121023996,607.5928423200335,609.2615121023996,1.2515023367745925,3.0,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-11 10:33:00-05:00,2026-02-11 11:24:00-05:00,long,609.0999755859375,612.8630427769253,607.8456198556082,612.8630427769253,3.76306719098784,3.0,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-12 10:03:00-05:00,2026-02-12 10:09:00-05:00,short,612.1099853515625,610.8877550397601,612.5173954554966,610.8877550397601,1.2222303118023774,3.0,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-12 10:12:00-05:00,2026-02-12 10:18:00-05:00,short,611.239990234375,612.2324223109654,612.2324223109654,608.2626940046039,-0.9924320765903758,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-12 10:18:00-05:00,2026-02-12 10:24:00-05:00,short,611.6699829101562,612.3771667480469,612.3771667480469,609.5484313964844,-0.707183837890625,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-12 10:24:00-05:00,2026-02-12 10:42:00-05:00,short,611.8099975585938,609.0884094238281,612.7171936035156,609.0884094238281,2.721588134765625,3.0,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-12 10:45:00-05:00,2026-02-12 11:06:00-05:00,short,608.9000244140625,606.0155495779853,609.8615160260882,606.0155495779853,2.8844748360771746,3.0,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-13 10:00:00-05:00,2026-02-13 10:09:00-05:00,short,600.6400146484375,601.9217522757394,601.9217522757394,596.7948017665317,-1.2817376273019363,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-13 10:09:00-05:00,2026-02-13 10:12:00-05:00,short,601.8300170898438,602.0416253226144,602.0416253226144,601.1951923915317,-0.2116082327706863,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-13 10:12:00-05:00,2026-02-13 10:27:00-05:00,short,601.5499877929688,602.6717522757394,602.6717522757394,598.1846943446567,-1.1217644827706863,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-13 10:27:00-05:00,2026-02-13 10:30:00-05:00,short,602.760009765625,602.9677660260882,602.9677660260882,602.1367409842355,-0.20775626046315665,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-13 10:30:00-05:00,2026-02-13 10:33:00-05:00,short,604.0700073242188,604.1957765851702,604.1957765851702,603.6926995413645,-0.12576926095141516,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-13 10:33:00-05:00,2026-02-13 10:36:00-05:00,short,604.7899780273438,604.1125603812083,605.0157839093889,604.1125603812083,0.6774176461354955,3.0,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-13 10:36:00-05:00,2026-02-13 10:39:00-05:00,short,604.7100219726562,603.7927361624583,605.0157839093889,603.7927361624583,0.9172858101979955,3.0,C,MODEL_C_CONT_PULLBACK,TARGET_HIT,10
QQQ,2026-02-13 10:51:00-05:00,2026-02-13 10:54:00-05:00,short,601.8800048828125,602.1733047485352,602.1733047485352,601.0001052856444,-0.2932998657227017,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-13 10:54:00-05:00,2026-02-13 10:57:00-05:00,short,602.1699829101562,602.3753311157227,602.3753311157227,601.5539382934569,-0.20534820556645172,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
QQQ,2026-02-13 10:57:00-05:00,2026-02-13 11:06:00-05:00,short,602.1400146484375,603.0053359985352,603.0053359985352,599.5440505981444,-0.8653213500977017,-1.0,C,MODEL_C_CONT_PULLBACK,STOP_HIT,10
